symbol,horizon,horizon_h,q_long,q_short,test_auc,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe,n_windows,pnl_positive,consistency
DOGE/USDT,12,1.0,80,20,0.52645,211,108,103,0.36135,-0.11529999999999999,-24.0533,-0.19979999999999998,2,0,0/2
DOGE/USDT,12,1.0,90,10,0.52645,145,81,64,0.32885,-0.19765,-28.112099999999998,-0.35750000000000004,2,0,0/2
DOGE/USDT,72,6.0,80,20,0.485,43,26,17,0.25755,-0.67545,-29.4288,-0.4468,2,0,0/2
DOGE/USDT,72,6.0,90,10,0.485,37,20,17,0.2953,-0.23329999999999998,-8.4649,-0.2197,2,0,0/2
DOGE/USDT,288,24.0,80,20,0.575,14,6,8,0.57145,0.9385000000000001,13.1388,0.49670000000000003,2,2,2/2
DOGE/USDT,288,24.0,90,10,0.575,13,8,5,0.4405,0.08549999999999996,2.1000000000000005,0.16785,2,1,1/2
ETH/USDT,12,1.0,80,20,0.5283,213,112,101,0.3383,-0.21155000000000002,-45.086,-0.306,2,0,0/2
ETH/USDT,12,1.0,90,10,0.5283,150,81,69,0.352,-0.17035,-25.529400000000003,-0.2748,2,0,0/2
ETH/USDT,72,6.0,80,20,0.45435000000000003,43,24,19,0.32715,-0.5326,-23.3405,-0.39665,2,0,0/2
ETH/USDT,72,6.0,90,10,0.45435000000000003,37,18,19,0.40925,-0.06499999999999999,-3.919,-0.03705,2,1,1/2
ETH/USDT,288,24.0,80,20,0.5883,14,9,5,0.64285,0.9163999999999999,12.829899999999999,0.40125,2,2,2/2
ETH/USDT,288,24.0,90,10,0.5883,12,6,6,0.33335,-0.30865,-3.7036999999999995,-0.10315,2,0,0/2
SOL/USDT,12,1.0,80,20,0.45425,219,114,105,0.35785,-0.27780000000000005,-60.2671,-0.36835,2,0,0/2
SOL/USDT,12,1.0,90,10,0.45425,152,81,71,0.30965,-0.31689999999999996,-47.5497,-0.4254,2,0,0/2
SOL/USDT,72,6.0,80,20,0.4843,45,24,21,0.51785,0.07930000000000001,1.963099999999999,0.02890000000000001,2,1,1/2
SOL/USDT,72,6.0,90,10,0.4843,32,15,17,0.42915000000000003,-0.15184999999999998,-4.3594,-0.12265,2,0,0/2
SOL/USDT,288,24.0,80,20,0.45220000000000005,12,8,4,0.83335,1.8468,22.1617,0.91975,2,2,2/2
SOL/USDT,288,24.0,90,10,0.45220000000000005,12,7,5,0.58335,1.26575,15.189,0.40125,2,1,1/2
